# z [mm] 	 bx [T] 	 by [T]
-9.99952e-01	0.00000e+00	6.35501e-04
-9.99902e-01	0.00000e+00	6.35583e-04
-9.99852e-01	0.00000e+00	6.35664e-04
-9.99802e-01	0.00000e+00	6.35745e-04
-9.99752e-01	0.00000e+00	6.35826e-04
-9.99702e-01	0.00000e+00	6.35908e-04
-9.99652e-01	0.00000e+00	6.35989e-04
-9.99602e-01	0.00000e+00	6.36070e-04
-9.99552e-01	0.00000e+00	6.36152e-04
-9.99502e-01	0.00000e+00	6.36233e-04
-9.99452e-01	0.00000e+00	6.36314e-04
-9.99402e-01	0.00000e+00	6.36396e-04
-9.99352e-01	0.00000e+00	6.36477e-04
-9.99302e-01	0.00000e+00	6.36558e-04
-9.99252e-01	0.00000e+00	6.36640e-04
-9.99202e-01	0.00000e+00	6.36721e-04
-9.99152e-01	0.00000e+00	6.36803e-04
-9.99103e-01	0.00000e+00	6.36884e-04
-9.99053e-01	0.00000e+00	6.36966e-04
-9.99003e-01	0.00000e+00	6.37047e-04
-9.98953e-01	0.00000e+00	6.37128e-04
-9.98903e-01	0.00000e+00	6.37210e-04
-9.98853e-01	0.00000e+00	6.37292e-04
-9.98803e-01	0.00000e+00	6.37373e-04
-9.98753e-01	0.00000e+00	6.37455e-04
-9.98703e-01	0.00000e+00	6.37536e-04
-9.98653e-01	0.00000e+00	6.37618e-04
-9.98603e-01	0.00000e+00	6.37699e-04
-9.98553e-01	0.00000e+00	6.37781e-04
-9.98503e-01	0.00000e+00	6.37863e-04
-9.98453e-01	0.00000e+00	6.37944e-04
-9.98403e-01	0.00000e+00	6.38026e-04
-9.98353e-01	0.00000e+00	6.38108e-04
-9.98303e-01	0.00000e+00	6.38190e-04
-9.98253e-01	0.00000e+00	6.38271e-04
-9.98203e-01	0.00000e+00	6.38353e-04
-9.98153e-01	0.00000e+00	6.38435e-04
-9.98103e-01	0.00000e+00	6.38517e-04
-9.98053e-01	0.00000e+00	6.38598e-04
-9.98003e-01	0.00000e+00	6.38680e-04
-9.97953e-01	0.00000e+00	6.38762e-04
-9.97903e-01	0.00000e+00	6.38844e-04
-9.97853e-01	0.00000e+00	6.38926e-04
-9.97803e-01	0.00000e+00	6.39008e-04
-9.97753e-01	0.00000e+00	6.39089e-04
-9.97704e-01	0.00000e+00	6.39171e-04
-9.97654e-01	0.00000e+00	6.39253e-04
-9.97604e-01	0.00000e+00	6.39335e-04
-9.97554e-01	0.00000e+00	6.39417e-04
-9.97504e-01	0.00000e+00	6.39499e-04
-9.97454e-01	0.00000e+00	6.39581e-04
-9.97404e-01	0.00000e+00	6.39663e-04
-9.97354e-01	0.00000e+00	6.39745e-04
-9.97304e-01	0.00000e+00	6.39827e-04
-9.97254e-01	0.00000e+00	6.39909e-04
-9.97204e-01	0.00000e+00	6.39991e-04
-9.97154e-01	0.00000e+00	6.40074e-04
-9.97104e-01	0.00000e+00	6.40156e-04
-9.97054e-01	0.00000e+00	6.40238e-04
-9.97004e-01	0.00000e+00	6.40320e-04
-9.96954e-01	0.00000e+00	6.40402e-04
-9.96904e-01	0.00000e+00	6.40484e-04
-9.96854e-01	0.00000e+00	6.40566e-04
-9.96804e-01	0.00000e+00	6.40649e-04
-9.96754e-01	0.00000e+00	6.40731e-04
-9.96704e-01	0.00000e+00	6.40813e-04
-9.96654e-01	0.00000e+00	6.40895e-04
-9.96604e-01	0.00000e+00	6.40978e-04
-9.96554e-01	0.00000e+00	6.41060e-04
-9.96504e-01	0.00000e+00	6.41142e-04
-9.96454e-01	0.00000e+00	6.41224e-04
-9.96404e-01	0.00000e+00	6.41307e-04
-9.96354e-01	0.00000e+00	6.41389e-04
-9.96304e-01	0.00000e+00	6.41472e-04
-9.96255e-01	0.00000e+00	6.41554e-04
-9.96205e-01	0.00000e+00	6.41636e-04
-9.96155e-01	0.00000e+00	6.41719e-04
-9.96105e-01	0.00000e+00	6.41801e-04
-9.96055e-01	0.00000e+00	6.41884e-04
-9.96005e-01	0.00000e+00	6.41966e-04
-9.95955e-01	0.00000e+00	6.42049e-04
-9.95905e-01	0.00000e+00	6.42131e-04
-9.95855e-01	0.00000e+00	6.42214e-04
-9.95805e-01	0.00000e+00	6.42296e-04
-9.95755e-01	0.00000e+00	6.42379e-04
-9.95705e-01	0.00000e+00	6.42461e-04
-9.95655e-01	0.00000e+00	6.42544e-04
-9.95605e-01	0.00000e+00	6.42626e-04
-9.95555e-01	0.00000e+00	6.42709e-04
-9.95505e-01	0.00000e+00	6.42792e-04
-9.95455e-01	0.00000e+00	6.42874e-04
-9.95405e-01	0.00000e+00	6.42957e-04
-9.95355e-01	0.00000e+00	6.43040e-04
-9.95305e-01	0.00000e+00	6.43122e-04
-9.95255e-01	0.00000e+00	6.43205e-04
-9.95205e-01	0.00000e+00	6.43288e-04
