# "Standard Phase Error file calculated by SPECTRA"
# "Ref: T. Tanaka, Phys. Rev. Accel. Beams 21 (2018)"
# "RMS phase error: 2.5 degrees"
# "RMS peak field variation: 0.5%"
# "RMS trajectory error: 0.1 um"
# "Harmonic Number"	"Single Electron"	"with Recovery Factors"
1.00000e+0	9.97318e-1	9.97521e-1
2.00000e+0	9.89315e-1	9.89973e-1
3.00000e+0	9.76119e-1	9.77241e-1
4.00000e+0	9.57940e-1	9.59615e-1
5.00000e+0	9.35063e-1	9.38323e-1
6.00000e+0	9.07843e-1	9.14374e-1
7.00000e+0	8.76694e-1	8.89269e-1
8.00000e+0	8.42079e-1	8.64952e-1
9.00000e+0	8.04497e-1	8.39997e-1
1.00000e+1	7.64476e-1	8.15958e-1
1.10000e+1	7.22553e-1	7.88129e-1
1.20000e+1	6.79272e-1	7.65519e-1
1.30000e+1	6.35162e-1	7.38510e-1
1.40000e+1	5.90735e-1	7.12001e-1
1.50000e+1	5.46472e-1	6.86426e-1
1.60000e+1	5.02818e-1	6.62161e-1
1.70000e+1	4.60173e-1	6.39141e-1
1.80000e+1	4.18888e-1	6.05560e-1
1.90000e+1	3.79265e-1	5.83630e-1
2.00000e+1	3.41550e-1	5.61535e-1
2.10000e+1	3.05938e-1	5.29303e-1
2.20000e+1	2.72571e-1	5.08268e-1
2.30000e+1	2.41542e-1	4.77277e-1
2.40000e+1	2.12899e-1	4.46923e-1
2.50000e+1	1.86648e-1	4.30148e-1
2.60000e+1	1.62756e-1	4.01534e-1
2.70000e+1	1.41163e-1	3.73812e-1
2.80000e+1	1.21779e-1	3.64005e-1
2.90000e+1	1.04493e-1	3.38220e-1
3.00000e+1	8.91810e-2	3.13451e-1
