# z [mm] 	 bx [T] 	 by [T]
-9.99931e-01	0.00000e+00	-1.76048e-02
-9.99831e-01	0.00000e+00	-1.75515e-02
-9.99731e-01	0.00000e+00	-1.74984e-02
-9.99631e-01	0.00000e+00	-1.74456e-02
-9.99531e-01	0.00000e+00	-1.73929e-02
-9.99431e-01	0.00000e+00	-1.73404e-02
-9.99331e-01	0.00000e+00	-1.72881e-02
-9.99231e-01	0.00000e+00	-1.72360e-02
-9.99131e-01	0.00000e+00	-1.71841e-02
-9.99031e-01	0.00000e+00	-1.71323e-02
-9.98931e-01	0.00000e+00	-1.70808e-02
-9.98832e-01	0.00000e+00	-1.70294e-02
-9.98732e-01	0.00000e+00	-1.69782e-02
-9.98632e-01	0.00000e+00	-1.69272e-02
-9.98532e-01	0.00000e+00	-1.68764e-02
-9.98432e-01	0.00000e+00	-1.68258e-02
-9.98332e-01	0.00000e+00	-1.67753e-02
-9.98232e-01	0.00000e+00	-1.67251e-02
-9.98132e-01	0.00000e+00	-1.66750e-02
-9.98032e-01	0.00000e+00	-1.66251e-02
-9.97932e-01	0.00000e+00	-1.65753e-02
-9.97832e-01	0.00000e+00	-1.65258e-02
-9.97732e-01	0.00000e+00	-1.64764e-02
-9.97632e-01	0.00000e+00	-1.64272e-02
-9.97532e-01	0.00000e+00	-1.63782e-02
-9.97432e-01	0.00000e+00	-1.63293e-02
-9.97333e-01	0.00000e+00	-1.62807e-02
-9.97233e-01	0.00000e+00	-1.62322e-02
-9.97133e-01	0.00000e+00	-1.61839e-02
-9.97033e-01	0.00000e+00	-1.61357e-02
-9.96933e-01	0.00000e+00	-1.60877e-02
-9.96833e-01	0.00000e+00	-1.60399e-02
-9.96733e-01	0.00000e+00	-1.59923e-02
-9.96633e-01	0.00000e+00	-1.59448e-02
-9.96533e-01	0.00000e+00	-1.58975e-02
-9.96433e-01	0.00000e+00	-1.58504e-02
-9.96333e-01	0.00000e+00	-1.58034e-02
-9.96233e-01	0.00000e+00	-1.57566e-02
-9.96133e-01	0.00000e+00	-1.57100e-02
-9.96033e-01	0.00000e+00	-1.56635e-02
-9.95933e-01	0.00000e+00	-1.56172e-02
